Внешний код;Артикул;Наименование номенклатуры;ВидНоменклатуры;ЕдиницаИзмерения;Бренд;Тип;Серия;Модель;Цвет;Высота;Ширина;Толщина;Стекло;Эксклюзив;Стиль;Путь к фото;Цена ЦФО Оптовая;Цена СЗФО Оптовая;Цена СФО Оптовая;Цена ЮФО Оптовая;Цена УФО Оптовая;Цена ЦФО Розница;Цена СЗФО Розница;Цена СФО Розница;Цена ЮФО Розница;Цена УФО Розница;Цена ДВФО Розница;
00-00071474;SC-00071474;Дверь ДаркВайт 101U 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;U;101;ДаркВайт;2000;800;36;матовое;;Классика;https://opt-profildoors.ru/upload/catalog/u/u__101u__darkvayt__matovoe__no__no__no.jpg;12091.00;12212.00;12575.00;12333.00;12454.00;17120.00;17291.00;17805.00;17462.00;17634.00;18147.00;
00-00071463;SC-00071463;Дверь Монблан 17XN AL 2000*800 ст.матовое;Полотно;шт;PROFILDOORS;Полотно;XN;17;Монблан;2000;800;36;матовое;;Модерн;https://opt-profildoors.ru/upload/ic/17XN_monblan_matovoe.jpg;8324.00;8407.00;8657.00;8490.00;8574.00;11861.00;11980.00;12335.00;12098.00;12217.00;12573.00;
00-00071512;SC-00071512;Дверь Галька люкс 23L 2000*800 золото;Полотно;шт;PROFILDOORS;Полотно;L;23;Галька Люкс;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/l/l__23l__galka-lyuks__no__no__no__zoloto.jpg;14038.00;14178.00;14600.00;14319.00;14459.00;0.00;0.00;0.00;0.00;0.00;0.00;
00-00071537;SC-00071537;Дверь Дуб Салинас Темный 103XN 2000*800 ст.графит;Полотно;шт;PROFILDOORS;Полотно;XN;103;Дуб Салинас Темный;2000;800;36;графит;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__103xn__dub-salinas-temnyy__grafit__no__no__no.jpg;13764.00;13902.00;14315.00;14039.00;14177.00;19503.00;19698.00;20283.00;19893.00;20088.00;20673.00;
00-00071550;SC-00071550;Дверь Монблан  1XN 2000*800;Полотно;шт;PROFILDOORS;Полотно;XN;1;Монблан;2000;800;36;;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__1xn__monblan__no__no__no__no.jpg;8880.00;8969.00;9235.00;9058.00;9146.00;12544.00;12669.00;13046.00;12795.00;12920.00;13297.00;
00-00071677;SC-00071677;Дверь Магнолия Люкс 5LK ст.перламутровый лак 2000*800 кромка 4 стор. ABS;Полотно;шт;PROFILDOORS;Полотно;LK;5;Магнолия Люкс;2000;800;44;перламутровый лак;;Модерн;https://opt-profildoors.ru/upload/catalog/lk/lk__5lk__magnoliya-lyuks__perlamutrovyy-lak__no__4-stor-abs__no.jpg;26144.00;26405.00;27190.00;26667.00;26928.00;37909.00;38288.00;39425.00;38667.00;39046.00;40184.00;
00-00071734;SC-00071734;Дверь Монблан 94XN 2000*800 ст.графит;Полотно;шт;PROFILDOORS;Полотно;XN;94;Монблан;2000;800;36;графит;;Классика;https://opt-profildoors.ru/upload/catalog/xn/xn__94xn__monblan__grafit__no__no__no.jpg;11787.00;11905.00;12258.00;12023.00;12141.00;16686.00;16853.00;17353.00;17020.00;17187.00;17687.00;
00-00071763;SC-00071763;Дверь Магнолия люкс 2.09L ст.триплекс черный 2000*800;Полотно;шт;PROFILDOORS;Полотно;L;2.09;Магнолия Люкс;2000;800;36;триплекс черный;;Модерн;https://opt-profildoors.ru/upload/catalog/l/l__2-09l__magnoliya-lyuks__tripleks-chernyy__no__no__no.jpg;12361.00;12485.00;12855.00;12608.00;12732.00;0.00;0.00;0.00;0.00;0.00;0.00;
00-00071823;SC-00071823;Дверь Белый Люкс 2.103L 2000*800 ст.прозрачное;Полотно;шт;PROFILDOORS;Полотно;L;2.103;Белый Люкс;2000;800;36;прозрачное;;Классика;https://opt-profildoors.ru/upload/catalog/l/l__2-103l__belyy-lyuks__prozrachnoe__no__no__no.jpg;15209.00;15361.00;15817.00;15513.00;15665.00;0.00;0.00;0.00;0.00;0.00;0.00;
00-00072142;SC-00072142;Дверь Галька Люкс 5LK ст.серебро матлак 2000*800 кромка 4 стор. ABS;Полотно;шт;PROFILDOORS;Полотно;LK;5;Галька Люкс;2000;800;44;серебро матлак;;Модерн;https://opt-profildoors.ru/upload/catalog/lk/lk__5lk__galka-lyuks__serebryanyy-lak__no__4-stor-abs__no.jpg;26144.00;26405.00;27190.00;26667.00;26928.00;37909.00;38288.00;39425.00;38667.00;39046.00;40184.00;
00-00072191;SC-00072191;Дверь Магнолия Сатинат 6Е ст.перламутровый лак 2000*800 кромка 4 стор. ABS Eclipse;Полотно;шт;PROFILDOORS;Полотно;Е;6;Магнолия Сатинат;2000;800;44;перламутровый лак;;Модерн;https://opt-profildoors.ru/upload/catalog/e/e__6e__magnoliya-satinat__perlamutrovyy-lak__no__4-stor-matovaya__no.jpg;13375.00;13509.00;13910.00;13643.00;13776.00;19394.00;19588.00;20170.00;19782.00;19976.00;20558.00;
00-00072390;SC-00072390;Дверь Галька Люкс 76L 2000*800 ст.триплекс черный;Полотно;шт;PROFILDOORS;Полотно;L;76;Галька Люкс;2000;800;36;триплекс черный;;Модерн;https://opt-profildoors.ru/upload/catalog/l/l__76l__galka-lyuks__tripleks-chernyy__no__no__no.jpg;17437.00;17611.00;18134.00;17786.00;17960.00;0.00;0.00;0.00;0.00;0.00;0.00;
